herb_name	symptom	symptom_E	DB_SRC	DB_SRC_ID
肉桂	腰膝冷痛	Low back pain	MeSH	D017116
肉桂	心腹冷痛	Abdominal pain	SIDER	C0000737
肉桂	心腹冷痛	Abdominal pain	MeSH	D015746
红花	腹痛	Abdominal pain	SIDER	C0000737
红花	腹痛	Abdominal pain	MeSH	D015746
红花	胸痹	Chest pain	SIDER	C0008031
红花	胸痹	Chest pain	MeSH	D002637
红花	经闭	Menopause	SIDER	C0025320
红花	经闭	Menopause	MeSH	D008593
红花	痛经	Dysmenorrhoea	SIDER	C0013390
红花	痛经	Dysmenorrhea	MeSH	D004412
红花	刺痛	Smarting	SIDER	C0235048
红花	肿痛	Swelling	SIDER	C0038999
红花	肿痛	Pain	SIDER	C0030193
红花	肿痛	Ache	SIDER	C0234238
红花	肿痛	Pain	MeSH	D010146
红花	疮疡	Skin ulcer	SIDER	C0037299
红花	疮疡	Skin ulcer	MeSH	D012883
红花	_瘕	Neoplasm	SIDER	C0027651
红花	胸胁刺痛	Chest pain	SIDER	C0008031
红花	胸胁刺痛	Chest pain	MeSH	D002637
红花	_瘕痞块	Neoplasm	SIDER	C0027651
红花	疮疡肿痛	Acne cystic	SIDER	C0010666
罗汉果	便秘	Constipation	SIDER	C0009806
罗汉果	便秘	Constipation	MeSH	D003248
罗汉果	咽痛	Throat tightness	SIDER	C0236071
罗汉果	失音	Aphonia	SIDER	C0003564
罗汉果	失音	Aphonia	MeSH	D001044
罗汉果	燥咳	Productive cough	SIDER	C0239134
罗汉果	肺热	Pneumonia	SIDER	C0032285
罗汉果	肺热	Pneumonia	MeSH	D011014
闹羊花	头痛	Headache dull	SIDER	C0239885
闹羊花	头痛	Headache	SIDER	C0018681
闹羊花	头痛	Headache	MeSH	D006261
闹羊花	风湿痹痛	Rheumatism	SIDER	C0035435
闹羊花	肿痛	Swelling	SIDER	C0038999
闹羊花	肿痛	Pain	SIDER	C0030193
闹羊花	肿痛	Ache	SIDER	C0234238
闹羊花	肿痛	Pain	MeSH	D010146
闹羊花	痹痛	Arthritic pains	SIDER	C0857177
闹羊花	跌扑肿痛	Pain	SIDER	C0030193
闹羊花	跌扑肿痛	Pain	MeSH	D010146
胡椒	腹痛	Abdominal pain	SIDER	C0000737
胡椒	腹痛	Abdominal pain	MeSH	D015746
胡椒	呕吐	Vomiting	SIDER	C0042963
胡椒	呕吐	Gagging	SIDER	C0016927
胡椒	呕吐	Vomiting	MeSH	D014839
胡椒	呕吐	Gagging	MeSH	D005683
胡椒	泄泻	Diarrhoea	SIDER	C0011991
胡椒	泄泻	Diarrhea	MeSH	D003967
胡椒	痰多	Sputum purulent	SIDER	C0241235
胡椒	痰多	Sputum	MeSH	D013183
胡椒	食欲不振	Decreased appetite	SIDER	C0232462
胡椒	癫痫	Epilepsy	SIDER	C0014544
胡椒	癫痫	Epilepsy	MeSH	D004827
胡椒	癫痫痰多	Epilepsy	SIDER	C0014544
胡椒	癫痫痰多	Epilepsy	MeSH	D004827
胡椒	胃寒呕吐	Vomiting	SIDER	C0042963
胡椒	胃寒呕吐	Vomiting	MeSH	D014839
洋金花	咳嗽	Productive cough	SIDER	C0239134
洋金花	咳嗽	Cough	SIDER	C0010200
洋金花	咳嗽	Cough	MeSH	D003371
洋金花	喘咳	Cough	SIDER	C0010200
洋金花	喘咳	Cough	MeSH	D003371
洋金花	风湿痹痛	Rheumatism	SIDER	C0035435
洋金花	冷痛	Pain	SIDER	C0030193
洋金花	冷痛	Ache	SIDER	C0234238
洋金花	冷痛	Pain	MeSH	D010146
洋金花	脘腹冷痛	Abdominal distension	SIDER	C0000731
洋金花	哮喘	Asthma	SIDER	C0004096
洋金花	哮喘	Asthma	MeSH	D001249
洋金花	痹痛	Arthritic pains	SIDER	C0857177
洋金花	喘	Asthma	SIDER	C0004096
洋金花	喘	Asthma	MeSH	D001249
洋金花	脘腹冷	Abdominal discomfort	SIDER	C0232487
蛇床子	阴痒	Pruritus genital	SIDER	C0033777
蛇床子	阳痿	Yang Deficiency	MeSH	D016711
蛇床子	腰痛	Low back pain	SIDER	C0024031
蛇床子	腰痛	Low back pain	SIDER	C0024031
蛇床子	腰痛	Loin pain	SIDER	C0235632
蛇床子	腰痛	Flank pain	SIDER	C0016199
蛇床子	腰痛	Flank pain	MeSH	D021501
蛇床子	腰痛	Low back pain	MeSH	D017116
蛇床子	腰痛	Low back pain	MeSH	D017116
蛇床子	带下	Leukorrhea	SIDER	C0023533
蛇床子	带下	Leukorrhea	MeSH	D007973
蛇床子	瘙痒	Pruritus	SIDER	C0033774
蛇床子	瘙痒	Pruritus	MeSH	D011537
蛇床子	湿疹瘙痒	Eczema	SIDER	C0013595
蛇床子	湿疹瘙痒	Eczema	MeSH	D004485
蛇床子	湿疹	Eczema	SIDER	C0013595
蛇床子	湿疹	Eczema	MeSH	D004485
蛇床子	不孕	Infertility	SIDER	C0021359
蛇床子	不孕	Infertility	MeSH	D007246
淡豆豉	头痛	Headache dull	SIDER	C0239885
淡豆豉	头痛	Headache	SIDER	C0018681
淡豆豉	头痛	Headache	MeSH	D006261
淡豆豉	胸闷	Chest heaviness	SIDER	C0742339
淡豆豉	烦躁	Restlessness aggravated	SIDER	C0856081
淡豆豉	感冒	Common Cold	SIDER	C0009443
淡豆豉	感冒	Common Cold	MeSH	D003139
淡豆豉	虚烦	Asthenia	SIDER	C0004093
淡豆豉	虚烦	Boredom	MeSH	D001887
淡豆豉	虚烦	Asthenia	MeSH	D001247
淡豆豉	虚烦不眠	Sleep Wake Disorders	MeSH	D012893
淡豆豉	寒热头痛	Headache	SIDER	C0018681
淡豆豉	寒热头痛	Headache	MeSH	D006261
覆盆子	尿频	Pollakiuria	SIDER	C0042023
覆盆子	遗精	Ejaculation	MeSH	D004542
覆盆子	阳痿	Yang Deficiency	MeSH	D016711
覆盆子	遗尿	Enuresis	SIDER	C0014394
覆盆子	遗尿	Enuresis	MeSH	D004775
覆盆子	滑精	Ejaculation	MeSH	D004542
覆盆子	早泄	Premature ejaculation	SIDER	C0033038
覆盆子	目暗昏花	Vision decreased	SIDER	C0042798
二十五味珊瑚丸	咽喉肿痛	Pharyngolaryngeal pain	SIDER	C0858635
二十五味珊瑚丸	咽喉肿	Pharyngolaryngeal pain	SIDER	C0858635
二十五味珊瑚丸	咽喉肿	Laryngopharyngitis	SIDER	C0023070
二十五味珊瑚丸	肿痛	Swelling	SIDER	C0038999
二十五味珊瑚丸	肿痛	Pain	SIDER	C0030193
二十五味珊瑚丸	肿痛	Ache	SIDER	C0234238
二十五味珊瑚丸	肿痛	Pain	MeSH	D010146
二十五味珊瑚丸	喉肿	Laryngeal oedema	SIDER	C0023052
二十五味珊瑚丸	喉肿	Cyst	SIDER	C0010709
二十五味珊瑚丸	喉肿	Laryngeal Edema	MeSH	D007819
二十五味珊瑚丸	风热	Hot Temperature	MeSH	D006358
三七片	便血	Haematochezia	SIDER	C0018932
三七片	咯血	Haemoptysis	SIDER	C0019079
三七片	咯血	Hemoptysis	MeSH	D006469
三七片	吐血	Hematemesis	MeSH	D006396
三七片	崩漏	Metrorrhagia	SIDER	C0025874
三七片	崩漏	Metrorrhagia	MeSH	D008796
三七片	刺痛	Smarting	SIDER	C0235048
三七片	肿痛	Swelling	SIDER	C0038999
三七片	肿痛	Pain	SIDER	C0030193
三七片	肿痛	Ache	SIDER	C0234238
三七片	肿痛	Pain	MeSH	D010146
三七片	出血	Hyphaema	SIDER	C0020581
三七片	出血	Haemorrhage	SIDER	C0019080
三七片	出血	Hemorrhage	MeSH	D006470
三七片	跌扑肿痛	Pain	SIDER	C0030193
三七片	跌扑肿痛	Pain	MeSH	D010146
三七片	衄血	Haemorrhage	SIDER	C0019080
三七片	衄血	Hemorrhage	MeSH	D006470
三七片	胸腹刺痛	Smarting	SIDER	C0235048
三黄片	口渴	Thirst	SIDER	C0039971
三黄片	口渴	Thirst	MeSH	D013894
三黄片	心烦	Boredom	MeSH	D001887
三黄片	目赤	Bloodshot eye	SIDER	C0005858
三黄片	便秘	Constipation	SIDER	C0009806
三黄片	便秘	Constipation	MeSH	D003248
三黄片	牙龈肿痛	Gingival swelling	SIDER	C0235324
三黄片	牙龈肿痛	Gingival pain	SIDER	C0239739
三黄片	尿黄	Urine color abnormal	SIDER	C0522153
三黄片	咽喉肿	Pharyngolaryngeal pain	SIDER	C0858635
三黄片	咽喉肿	Laryngopharyngitis	SIDER	C0023070
三黄片	痢疾	Dysentery	SIDER	C0013369
三黄片	痢疾	Dysentery	MeSH	D004403
三黄片	肿痛	Swelling	SIDER	C0038999
三黄片	肿痛	Pain	SIDER	C0030193
三黄片	肿痛	Ache	SIDER	C0234238
三黄片	肿痛	Pain	MeSH	D010146
三黄片	牙龈肿	Tooth abscess	SIDER	C0518988
三黄片	牙龈肿	Gingivitis	SIDER	C0017574
三黄片	牙龈肿	Gingival swelling	SIDER	C0235324
三黄片	牙龈肿	Gingival oedema	SIDER	C0277986
三黄片	牙龈肿	Gingival abscess	SIDER	C0149892
三黄片	牙龈肿	Gingivitis	MeSH	D005891
三黄片	喉肿	Laryngeal oedema	SIDER	C0023052
三黄片	喉肿	Cyst	SIDER	C0010709
三黄片	喉肿	Laryngeal Edema	MeSH	D007819
三黄片	口鼻生疮	Aphthous stomatitis	SIDER	C0038363
三黄片	渴	Thirst	SIDER	C0039971
三黄片	渴	Thirst	MeSH	D013894
三黄片	咽喉肿痈	Laryngopharyngeal dysesthesia	SIDER	C1328466
小儿感冒□服液	头痛	Headache dull	SIDER	C0239885
小儿感冒□服液	头痛	Headache	SIDER	C0018681
小儿感冒□服液	头痛	Headache	MeSH	D006261
小儿感冒□服液	发热	Fever chills	SIDER	C0085594
小儿感冒□服液	发热	Fever	MeSH	D005334
小儿感冒□服液	口渴	Thirst	SIDER	C0039971
小儿感冒□服液	口渴	Thirst	MeSH	D013894
小儿感冒□服液	恶风			
小儿感冒□服液	肿痛	Swelling	SIDER	C0038999
小儿感冒□服液	肿痛	Pain	SIDER	C0030193
小儿感冒□服液	肿痛	Ache	SIDER	C0234238
小儿感冒□服液	肿痛	Pain	MeSH	D010146
小儿感冒□服液	苔薄黄			
小儿感冒□服液	苔薄			
小儿感冒□服液	发热重	Fever chills	SIDER	C0085594
小儿感冒□服液	发热重	Fever	MeSH	D005334
小儿感冒□服液	红肿	Cyst	SIDER	C0010709
小儿感冒□服液	红肿	Cysts	MeSH	D003560
小儿感冒□服液	有汗	Sweating	SIDER	C0038990
小儿感冒□服液	有汗	Sweating	MeSH	D013546
小儿感冒□服液	有汗	Sweat	MeSH	D013542
小儿感冒□服液	脉浮数			
小儿感冒□服液	脉浮			
小儿感冒□服液	微恶风寒	Typhoid fever	SIDER	C0041466
小儿感冒□服液	微恶风寒	Typhoid fever	MeSH	D014435
小儿感冒□服液	渴	Thirst	SIDER	C0039971
小儿感冒□服液	渴	Thirst	MeSH	D013894
小儿感冒□服液	咽红	Throat tightness	SIDER	C0236071
小儿感冒□服液	咽红	Pharyngitis	SIDER	C0031350
小儿感冒□服液	咽红	Pharyngeal erythema	SIDER	C0455899
小儿感冒□服液	咽红	Pharyngitis	MeSH	D010612
小儿感冒□服液	苔薄黄而干			
小儿感冒□服液	风热	Hot Temperature	MeSH	D006358
小儿感冒□服液	咽红肿痛	Throat tightness	SIDER	C0236071
小儿感冒□服液	舌尖红	Tongue Diseases	MeSH	D014060
小儿感冒□服液	恶风寒	Typhoid fever	SIDER	C0041466
小儿感冒□服液	恶风寒	Typhoid fever	MeSH	D014435
小儿感冒颗粒	咳嗽	Productive cough	SIDER	C0239134
小儿感冒颗粒	咳嗽	Cough	SIDER	C0010200
小儿感冒颗粒	咳嗽	Cough	MeSH	D003371
小儿感冒颗粒	发热	Fever chills	SIDER	C0085594
小儿感冒颗粒	发热	Fever	MeSH	D005334
小儿感冒颗粒	咽喉肿痛	Pharyngolaryngeal pain	SIDER	C0858635
小儿感冒颗粒	感冒	Common Cold	SIDER	C0009443
小儿感冒颗粒	感冒	Common Cold	MeSH	D003139
小儿感冒颗粒	痰黏	Sputum purulent	SIDER	C0241235
小儿感冒颗粒	痰黏	Sputum	MeSH	D013183
小儿感冒颗粒	咽喉肿	Pharyngolaryngeal pain	SIDER	C0858635
小儿感冒颗粒	咽喉肿	Laryngopharyngitis	SIDER	C0023070
小儿感冒颗粒	胀痛	Bloated feeling	SIDER	C0857257
小儿感冒颗粒	肿痛	Swelling	SIDER	C0038999
小儿感冒颗粒	肿痛	Pain	SIDER	C0030193
小儿感冒颗粒	肿痛	Ache	SIDER	C0234238
小儿感冒颗粒	肿痛	Pain	MeSH	D010146
小儿感冒颗粒	头胀	Head discomfort	SIDER	C0235002
小儿感冒颗粒	发热重	Fever chills	SIDER	C0085594
小儿感冒颗粒	发热重	Fever	MeSH	D005334
小儿感冒颗粒	头胀痛	Headache dull	SIDER	C0239885
小儿感冒颗粒	头胀痛	Headache	SIDER	C0018681
小儿感冒颗粒	头胀痛	Headache	MeSH	D006261
小儿感冒颗粒	喉肿	Laryngeal oedema	SIDER	C0023052
小儿感冒颗粒	喉肿	Cyst	SIDER	C0010709
小儿感冒颗粒	喉肿	Laryngeal Edema	MeSH	D007819
小儿感冒颗粒	风热	Hot Temperature	MeSH	D006358
小儿感冒颗粒	风热感冒	Common Cold	SIDER	C0009443
小儿感冒颗粒	风热感冒	Common Cold	MeSH	D003139
无烟灸条	疼痛	Pain	SIDER	C0030193
无烟灸条	疼痛	Ache	SIDER	C0234238
无烟灸条	疼痛	Pain	MeSH	D010146
无烟灸条	冷痛	Pain	SIDER	C0030193
无烟灸条	冷痛	Ache	SIDER	C0234238
无烟灸条	冷痛	Pain	MeSH	D010146
无烟灸条	脘腹冷痛	Abdominal distension	SIDER	C0000731
无烟灸条	关节四肢疼痛	Arthritic pains	SIDER	C0857177
无烟灸条	四肢疼痛	Pain of lower extremities	SIDER	C0239376
无烟灸条	肌肉酸麻	Localised numbness	SIDER	C0235018
无烟灸条	脘腹冷	Abdominal discomfort	SIDER	C0232487
云南白药	便血	Haematochezia	SIDER	C0018932
云南白药	吐血	Hematemesis	MeSH	D006396
云南白药	崩漏	Metrorrhagia	SIDER	C0025874
云南白药	崩漏	Metrorrhagia	MeSH	D008796
云南白药	咳血	Haemorrhage	SIDER	C0019080
云南白药	咳血	Haemoptysis	SIDER	C0019079
云南白药	咳血	Haematemesis	SIDER	C0018926
云南白药	咳血	Hemorrhage	MeSH	D006470
云南白药	咳血	Hemoptysis	MeSH	D006469
云南白药	咳血	Hematemesis	MeSH	D006396
云南白药	咳血	Hematemesis	MeSH	D006396
云南白药	肿痛	Swelling	SIDER	C0038999
云南白药	肿痛	Pain	SIDER	C0030193
云南白药	肿痛	Ache	SIDER	C0234238
云南白药	肿痛	Pain	MeSH	D010146
云南白药	跌打损伤	Caustic injury	SIDER	C0854388
云南白药	出血	Hyphaema	SIDER	C0020581
云南白药	出血	Haemorrhage	SIDER	C0019080
云南白药	出血	Hemorrhage	MeSH	D006470
云南白药	痔血	Haemorrhoidal haemorrhage	SIDER	C0265031
云南白药	疮疡	Skin ulcer	SIDER	C0037299
云南白药	疮疡	Skin ulcer	MeSH	D012883
云南白药	肿毒	Swelling	SIDER	C0038999
云南白药	肿毒	Viruses	MeSH	D014780
云南白药	骨折	Bone disorder	SIDER	C0005940
云南白药	下血	Haemorrhage	SIDER	C0019080
云南白药	下血	Hemorrhage	MeSH	D006470
云南白药	皮肤感染	Skin infection	SIDER	C0037278
云南白药	手术出血	Operative bleeding	SIDER	C3267156
云南白药	支气管扩张	Bronchiectasis	SIDER	C0006267
云南白药	支气管扩张	Bronchiectasis	MeSH	D001987
五昧沙棘散	痰多	Sputum purulent	SIDER	C0241235
五昧沙棘散	痰多	Sputum	MeSH	D013183
五昧沙棘散	喘促	Asthma	SIDER	C0004096
五昧沙棘散	喘促	Asthma	MeSH	D001249
五昧沙棘散	久嗽	Productive cough	SIDER	C0239134
五昧沙棘散	久嗽	Cough	SIDER	C0010200
五昧沙棘散	久嗽	Cough	MeSH	D003371
五昧沙棘散	喘	Asthma	SIDER	C0004096
五昧沙棘散	喘	Asthma	MeSH	D001249
五昧沙棘散	肺热	Pneumonia	SIDER	C0032285
五昧沙棘散	肺热	Pneumonia	MeSH	D011014
五昧沙棘散	胸胁作痛	Flank Pain	SIDER	C0016199
五昧沙棘散	胸胁作痛	Flank Pain	MeSH	D021501
五昧沙棘散	胸中满闷	Chest heaviness	SIDER	C0742339
五昧沙棘散	喘促痰多	Sputum increased	SIDER	C0235567
五黄养阴颗粒	口干	Dry mouth	SIDER	C0043352
五黄养阴颗粒	气短	Respiration abnormal	SIDER	C1260922
五黄养阴颗粒	乏力	Asthenia	SIDER	C0004093
五黄养阴颗粒	乏力	Asthenia	SIDER	C0004093
五黄养阴颗粒	乏力	Asthenia	MeSH	D001247
五黄养阴颗粒	乏力	Asthenia	MeSH	D001247
五黄养阴颗粒	口渴	Thirst	SIDER	C0039971
五黄养阴颗粒	口渴	Thirst	MeSH	D013894
五黄养阴颗粒	失眠	Insomnia	SIDER	C0917801
五黄养阴颗粒	心烦	Boredom	MeSH	D001887
五黄养阴颗粒	心悸	Palpitations	SIDER	C0030252
五黄养阴颗粒	自汗	Sweating	SIDER	C0038990
五黄养阴颗粒	自汗	Sweating	MeSH	D013546
五黄养阴颗粒	自汗	Sweat	MeSH	D013542
五黄养阴颗粒	便秘	Constipation	SIDER	C0009806
五黄养阴颗粒	便秘	Constipation	MeSH	D003248
五黄养阴颗粒	尿频	Pollakiuria	SIDER	C0042023
五黄养阴颗粒	倦怠	Malaise and fatigue	SIDER	C0024528
五黄养阴颗粒	倦怠	Exhaustion	SIDER	C0392674
五黄养阴颗粒	盗汗	Night sweats	SIDER	C0028081
五黄养阴颗粒	呕恶	Vomiting	SIDER	C0042963
五黄养阴颗粒	呕恶	Gagging	SIDER	C0016927
五黄养阴颗粒	呕恶	Vomiting	MeSH	D014839
五黄养阴颗粒	呕恶	Gagging	MeSH	D005683
五黄养阴颗粒	多食	Hyperphagia	SIDER	C0020505
五黄养阴颗粒	多食	Hyperphagia	MeSH	D006963
五黄养阴颗粒	咽燥	Dry throat	SIDER	C0235234
五黄养阴颗粒	懒言	Speech disorder	SIDER	C0037822
五黄养阴颗粒	口渴喜饮	Drinking Behavior	MeSH	D004327
五黄养阴颗粒	消渴	Diabetes mellitus	SIDER	C0011849
五黄养阴颗粒	消渴	Diabetes mellitus	MeSH	D003920
五黄养阴颗粒	善饥	Hunger abnormal	SIDER	C0235119
五黄养阴颗粒	倦怠乏力	Malaise and fatigue	SIDER	C0024528
五黄养阴颗粒	气阴两虚	Asthenia	SIDER	C0004093
五黄养阴颗粒	气阴两虚	Asthenia	MeSH	D001247
五黄养阴颗粒	头身困重	Sensation of heaviness	SIDER	C0581912
五黄养阴颗粒	渴	Thirst	SIDER	C0039971
五黄养阴颗粒	渴	Thirst	MeSH	D013894
五黄养阴颗粒	形体肥胖	Obesity	SIDER	C0028754
五黄养阴颗粒	形体肥胖	Obesity	MeSH	D009765
五黄养阴颗粒	身困重	Sensation of heaviness	SIDER	C0581912
五黄养阴颗粒	畏热	Heat intolerance	SIDER	C0231274
止咳喘颗粒	咳喘	Productive cough	SIDER	C0239134
止咳喘颗粒	咳喘	Cough	SIDER	C0010200
止咳喘颗粒	咳喘	Asthma	SIDER	C0004096
止咳喘颗粒	咳喘	Cough	MeSH	D003371
止咳喘颗粒	咳喘	Asthma	MeSH	D001249
止咳喘颗粒	喘	Asthma	SIDER	C0004096
止咳喘颗粒	喘	Asthma	MeSH	D001249
止咳_红丸	咳嗽	Productive cough	SIDER	C0239134
止咳_红丸	咳嗽	Cough	SIDER	C0010200
止咳_红丸	咳嗽	Cough	MeSH	D003371
止咳_红丸	气短	Respiration abnormal	SIDER	C1260922
止咳_红丸	咽干	Dry throat	SIDER	C0235234
止咳_红丸	痰多	Sputum purulent	SIDER	C0241235
止咳_红丸	痰多	Sputum	MeSH	D013183
止咳_红丸	胸满	Chest pain	SIDER	C0008031
止咳_红丸	胸满	Chest heaviness	SIDER	C0742339
止咳_红丸	胸满	Chest pain	MeSH	D002637
止咳_红丸	痰热	Sputum purulent	SIDER	C0241235
止咳_红丸	痰热	Sputum	MeSH	D013183
止咳_红丸	咳嗽痰多	Cough	SIDER	C0010200
止咳_红丸	咳嗽痰多	Cough	MeSH	D003371
止咳_红丸	喉痒	Laryngitis	SIDER	C0023067
止咳_红丸	喉痒	Laryngitis	MeSH	D007827
止咳_红丸	痰热阻肺	Cough	SIDER	C0010200
止咳_红丸	痰热阻肺	Cough	MeSH	D003371
止痛化_片	疼痛	Pain	SIDER	C0030193
止痛化_片	疼痛	Ache	SIDER	C0234238
止痛化_片	疼痛	Pain	MeSH	D010146
止痛化_片	月经不调	Menstruation Disturbances	MeSH	D008599
止痛化_片	痛经	Dysmenorrhoea	SIDER	C0013390
止痛化_片	痛经	Dysmenorrhea	MeSH	D004412
止痛化_片	有血块	Hematoma	MeSH	D006406
止痛化_片	血瘀	Hematoma	MeSH	D006406
止痛化_片	_块	Benign neoplasm	SIDER	C0086692
止痛化_片	腹有_块	Abdominal neoplasm	SIDER	C0000735
止痛化_片	_瘕	Neoplasm	SIDER	C0027651
止痛化_片	经行小腹疼痛	Abdominal pain	SIDER	C0000737
止痛化_片	经行小腹疼痛	Abdominal pain	MeSH	D015746
止痛化_片	小腹疼痛	Abdominal cramps	SIDER	C0000729
止痛化_片	小腹疼痛	Abdominal colic	SIDER	C0232488
止痛紫金丸	疼痛	Pain	SIDER	C0030193
止痛紫金丸	疼痛	Ache	SIDER	C0234238
止痛紫金丸	疼痛	Pain	MeSH	D010146
止痛紫金丸	岔气	Hiccup	MeSH	D006606
止痛紫金丸	跌打损伤	Caustic injury	SIDER	C0854388
止痛紫金丸	筋骨疼痛	Rib pain	SIDER	C0574068
止嗽定喘口服液	咳嗽	Productive cough	SIDER	C0239134
止嗽定喘口服液	咳嗽	Cough	SIDER	C0010200
止嗽定喘口服液	咳嗽	Cough	MeSH	D003371
止嗽定喘口服液	口渴	Thirst	SIDER	C0039971
止嗽定喘口服液	口渴	Thirst	MeSH	D013894
止嗽定喘口服液	身热	Fever chills	SIDER	C0085594
止嗽定喘口服液	身热	Fever	MeSH	D005334
止嗽定喘口服液	喘促	Asthma	SIDER	C0004096
止嗽定喘口服液	喘促	Asthma	MeSH	D001249
