herb	symptoms
陈皮	纳略增,3.65442421016	偶口干口苦,3.65442421016	代诉：病情平稳,3.65442421016	微畏寒,3.65442421016	胃脘胃寒,3.65442421016	舌下脉络瘀曲,3.65442421016	腹部畏寒略减,3.65442421016	泛吐白沫,3.65442421016	舌体瘦,3.65442421016	口粘减轻,3.65442421016	头晕减轻,3.65442421016	舌燥,3.65442421016	舌淡紫暗胖,3.65442421016	咽部有异物感,3.65442421016	脑鸣,3.65442421016	胃脘部下坠感,3.65442421016	苔浊腻,3.65442421016	舌干,3.65442421016	前部苔少,3.65442421016	进食后偶嗳气,3.65442421016	小便热,3.65442421016	面部痤疮多,3.65442421016	打鼾,3.65442421016	吞咽困难,3.65442421016	排气少,3.65442421016	不能多食,3.62844872376	反食,3.62702523597	偶呕吐,3.61186459574	受凉加重,3.60997244759	食后嗳气,3.60997244759	腹部畏寒明显,3.60790419452	舌淡边有齿痕,3.60790419452	泻后则安,3.60563404599	嘈杂,3.59726579632	大便有时干,3.59726579632	嗳气减少,3.59379958834	胃胀明显好转,3.59190385318	进食后嗳气,3.58988568902	家族史否认,3.58988568902	舌暗淡胖,3.58773283566	矢气减少,3.58543133867	大便粘好转,3.58543133867	苔黄白腻,3.58031623801	有瘀点,3.58031623801	纳稍增,3.58031623801	反酸偶作,3.58031623801	上腹胀满,3.57746316902	质不干,3.57746316902	下肢疼痛,3.57438150249	膝关节畏寒,3.57438150249	得嗳气矢气则舒,3.57438150249	食欲差,3.57438150249	偶咳痰,3.57438150249	舌质红,3.57438150249	胃中沥沥在声,3.57438150249	晨起口臭,3.57438150249	大便时干,3.57438150249	偶干咳,3.57438150249	两胁痛,3.56741283317	口干苦,3.56741283317	耳鸣减轻,3.56741283317	腹泻减轻,3.55911403035	自觉上火,3.55911403035	睡眠偏差,3.55911403035	嗳气偶作,3.55911403035	心悸减轻,3.55911403035	反酸减少,3.55911403035	口干明显,3.55911403035	大便渐成形,3.55911403035	气上逆感,3.55598413735	脉滑数,3.55598413735	大便欠畅,3.5543407516	口腔异味减轻,3.5543407516	嗳气频作,3.55332809329	喜温喜按,3.5490636945	背痛减轻,3.5490636945	小腹胀满,3.5490636945	睡眠质量好转,3.5490636945	苔根部腻,3.5490636945	口粘好转,3.5490636945	胃脘及背部畏寒,3.5490636945	脐周隐痛,3.5490636945	偶胸痛,3.5490636945	口苦好转,3.5490636945	体胖,3.5490636945	仍有嗳气,3.5490636945	夜尿3次,3.5490636945	肠鸣减轻,3.5490636945	上腹胀,3.5490636945	有时偏干,3.5490636945	咽痛好转,3.5490636945	大便偶不成形,3.5490636945	舌淡暗略胖,3.5490636945	胃脘畏寒减轻,3.54621062552	大便不成形,3.54319857505	时有口苦,3.54109552485	畏脘畏寒,3.53379622237	基本成形,3.53182188807	得嗳气则舒,3.53081025419	纳眠差,3.52926106721	

木香	代诉：病情平稳,4.86897912382	舌体瘦,4.86897912382	小便热,4.86897912382	打鼾,4.76361860816	脐周不适,4.51230417988	矢气减少,4.46351401571	便前腹痛,4.40944679444	泻前腹痛,4.39205505173	大便有时成形,4.35815350005	时有口干口苦,4.32998262308	纳略增,4.30936333588	腹部畏寒喜暖,4.30936333588	嘈杂,4.28119245891	腹部下坠感,4.26820526339	根部薄白,4.26284332025	舌紫暗红胖,4.26284332025	腹痛减轻,4.26284332025	偶有便不尽感,4.24037046439	部位不固定,4.22712523764	腹部畏寒明显,4.17583194326	时干时稀,4.17583194326	苔中根部黄,4.17583194326	目困,4.17583194326	胃脘部下坠感,4.17583194326	夜尿3次,4.17583194326	目眵多,4.17583194326	有时偏干,4.17583194326	呈隐痛,4.17583194326	偶有胃脘隐痛,4.17583194326	有软裂,4.15521265605	前部少苔,4.11520732144	矢气,4.11129342212	偶腹痛,4.11129342212	乏力明显好转,4.09578923558	左下腹疼痛,4.09578923558	胃中沥沥在声,4.09578923558	小便次数多,4.08052176345	腹部硬满,4.08052176345	腹泻减轻,4.08052176345	心下悸动,4.08052176345	饮食不慎则胃胀,4.08052176345	食欲好,4.05221798729	脐周腹痛,4.04799857175	偶胸闷,4.04230055063	视物模糊,4.04230055063	偶右胁痛,4.04230055063	纳偏少,4.04230055063	泻后则安,4.02168126343	PG,4.02168126343	基本成形,4.00877785859	形体消瘦,4.00147855611	舌淡红胖,3.99351038646	形体肥胖,3.99351038646	情志不舒加重,3.99351038646	心悸好转,3.98167592881	腹泻好转,3.97103753061	中有裂纹,3.95916090645	小腹畏寒,3.95268839194	晨起嗳气,3.95268839194	偶口干口苦,3.95268839194	稍感胃胀,3.95268839194	晨起反酸,3.95268839194	水样便,3.95268839194	脉左沉右弦,3.95268839194	脉左沉细,3.95268839194	大便偶不成形,3.95268839194	舌淡暗略胖,3.95268839194	反复腹泻,3.93944316519	腹痛,3.93288576465	舌下脉络瘀曲,3.92451751497	咽部有痰,3.91346767879	四肢冷,3.91346767879	时有腰痛,3.91346767879	口臭明显减轻,3.8881498708	腹部微畏寒,3.8704502937	牙龈出血,3.8704502937	夹未消化物,3.86567701495	小便急,3.85737821214	睡眠略好转,3.85737821214	色黑,3.85737821214	受凉易作,3.85737821214	睡眠有时偏差,3.85737821214	时有口苦,3.83935970663	生气后加重,3.83935970663	头晕减轻,3.83935970663	进食生冷加重,3.83935970663	易怒,3.83935970663	纳时好时差,3.83935970663	苔中根部薄黄,3.83935970663	大便已成形,3.82752524899	反食,3.82301056863	肠鸣减轻,3.81915699932	胃脘不适好转,3.79853771211	有瘀斑,3.79446438673	有时不成形,3.79142024435	口淡乏味,3.77036683515	两胁痛,3.77036683515	服药后好转,3.77036683515	口干苦,3.77036683515	排出畅,3.77036683515	

制吴茱萸	进食后偶嗳气,4.88121169225	舌淡紫暗胖,4.71415760759	泛吐白沫,4.68054099679	舌中根部疼痛,4.65806814094	嘈杂,4.62989726397	舌淡边有齿痕,4.62338258295	咽部有异物感,4.5935296198	根部厚,4.56275796113	手足热,4.47574658414	胃脘部下坠感,4.47574658414	偶头痛,4.43937893997	胸骨后烧灼感,4.43318696972	胃脘隐痛减轻,4.42922656851	眠时好时差,4.42922656851	心悸减轻,4.42922656851	时时欲便,4.41120806301	舌苔根部厚,4.39570387647	颈部不适,4.39570387647	苔根部腻,4.37038606849	晨起反酸,4.37038606849	吞咽食物时梗噎不畅,4.34221519152	出汗多,4.34221519152	胸骨后灼热感,4.30869249948	胸骨后烧灼感减轻,4.30584754735	反酸,4.28596872667	足跟痛,4.27507588868	偶有反酸,4.27507588868	咽部堵闷感,4.24522292553	心悸好转,4.24522292553	脘腹畏寒,4.24522292553	烧心,4.23679370211	口腔异味减轻,4.23458452733	喜温喜按,4.18806451169	晨起咳痰,4.18806451169	背痛减轻,4.18806451169	舌灼热感,4.18806451169	口干苦,4.18806451169	PG,4.18806451169	胁痛,4.18806451169	反酸减轻,4.13927434752	嗳气不畅,4.12979560357	咽部有痰,4.10802180402	乏力明显好转,4.10802180402	咽干咽痛,4.10802180402	胸骨后不适,4.10254233825	大便黑,4.1010531347	色黑,4.09275433189	嗳气偶作,4.09275433189	反酸减少,4.09275433189	嗳气好转,4.09275433189	时有反酸,4.07365416051	进食后明显,4.06445055572	偶胃脘隐痛,4.03391383186	咳吐不利,4.03391383186	纳稍增,4.03391383186	时有胃脘隐痛,4.03391383186	反酸偶作,4.03391383186	纳时好时差,4.03391383186	面黄,4.01217384523	脉弱,4.0057429549	胸闷减轻,4.0057429549	腹部畏寒好转,4.0057429549	偶呕吐,4.0057429549	气上逆感,3.98042514691	手麻,3.96492096038	小便不畅,3.96492096038	大便较前成形,3.96492096038	进食后腹胀,3.96492096038	小腹胀满,3.96492096038	胃脘及背部畏寒,3.96492096038	苔根部白腻,3.96492096038	胃脘隐痛,3.96492096038	食后加重,3.96492096038	偶有便不尽感,3.96492096038	时有恶心,3.95249844038	大便不成形,3.95167573363	大便头干,3.94965348825	手足凉好转,3.93675008341	大便有时干,3.93675008341	舌暗淡胖,3.93213113755	口粘减轻,3.92570024722	四肢冷,3.92570024722	晨起明显,3.91613079621	胸骨后疼痛,3.91362766599	胁胀,3.91181113506	反食,3.90935110922	脉细弦,3.90038243924	乏津,3.90038243924	进食后胃脘不适,3.90038243924	根部黄,3.90038243924	胃脘畏寒明显,3.90038243924	上腹痛,3.90038243924	脉细数,3.90038243924	夜间明显,3.89382503869	反复腹泻,3.88268286214	流清涕,3.88268286214	舌紫暗胖,3.87905966977	咽部异物感,3.87647691839	时有腹泻,3.87568982665	小便调,3.87476986338	

醋莪术	代诉：病情平稳,4.94855756913	以流食为主,4.78150348447	自觉上火,4.74788687367	有瘀斑,4.73149306389	病情稳定,4.71216879107	脑鸣,4.66087549668	唇燥,4.60025087486	夜间口干减轻,4.59188262519	口酸,4.59188262519	膝关节畏寒,4.580832789	舌淡紫暗胖,4.580832789	舌下脉络瘀曲,4.54309246102	舌干,4.54309246102	目胀,4.54309246102	口干口苦减轻,4.52870372357	心悸好转,4.51323949787	腹胀不明显,4.43773194536	舌质暗红,4.43773194536	舌体瘦,4.43773194536	大便有时成形,4.43773194536	大便有时秘结,4.43773194536	舌木,4.42246447323	晨起咳痰,4.4095610684	有瘀点,4.38894178119	吞咽困难,4.38894178119	根部薄白,4.34242176556	嗳气偶作,4.34242176556	舌紫暗红胖,4.34242176556	右胁隐痛,4.32951836072	排气不畅,4.32951836072	下肢疼痛,4.32951836072	右上腹不适,4.32951836072	食欲差,4.32951836072	干咳,4.31994890971	腹中不适,4.30670368296	大便欠畅,4.30193040421	偶口干口苦,4.25541038857	偶胸痛,4.25541038857	体胖,4.25541038857	时轻时重,4.25541038857	口干舌燥,4.25541038857	双下肢肿减轻,4.25541038857	服上药后,4.25541038857	伴嗳气,4.25541038857	不能多食,4.22943490217	腹部畏寒减轻,4.22262056575	胁胀,4.22031906876	舌紫暗红,4.210958626	不喜饮,4.2013431673	纳眠差,4.19478576675	大便粘好转,4.18641751708	大便欠成形,4.1844586526	乏力明显好转,4.1753676809	不详,4.1753676809	得嗳气矢气则舒,4.1753676809	苔浊腻,4.1753676809	脉沉弦细,4.1753676809	腹部畏寒好转,4.16839901158	小便次数多,4.16010020877	腹泻减轻,4.16010020877	口干渴,4.16010020877	记忆力下降,4.16010020877	肛门下坠感,4.16010020877	心悸减轻,4.16010020877	目干涩好转,4.16010020877	心下悸动,4.16010020877	偶心悸,4.13762735291	手足凉好转,4.13762735291	反酸减轻,4.13762735291	舌紫暗,4.12972217341	口臭明显减轻,4.12187899595	胸憋,4.11022837873	反复感冒,4.10125970874	进食后加重,4.10125970874	少津,4.10125970874	嗳气好转,4.09110733728	脉沉小,4.08835630391	胃脘畏寒好转,4.08356013164	大便基本成形,4.08174689452	咽部异物感减轻,4.07951972211	偶右胁不适,4.07308883178	微感口苦,4.07308883178	饮食不慎则腹泻,4.06616838893	脘腹畏寒,4.06125437413	脉弦缓,4.05473969311	进食后嗳气,4.04777102379	背痛好转,4.03226683726	大便较前成形,4.03226683726	进食后腹胀,4.03226683726	睡眠质量好转,4.03226683726	腹部畏寒略减,4.03226683726	反酸好转,4.03226683726	苔薄,4.03226683726	口渴,4.03226683726	有时偏干,4.03226683726	偶有胃脘隐痛,4.03226683726	小便少,4.01424833175	嗳气减少,4.01246420996	口干咽燥,4.01028793054	头晕好转,4.01028793054	

麸炒苍术	耳鸣减轻,4.79573996145	苔灰腻,4.77739082278	大便渐成形,4.77739082278	苔根部腻,4.75491796693	膝关节疼痛,4.67267986869	苔厚腻略黄,4.64158928162	口腔异味减轻,4.64158928162	打鼾,4.6213865743	舌中根部疼痛,4.6213865743	服上药后,4.57259641013	苔白厚腻,4.55317832428	睡眠多,4.5260763945	舌紫暗胖,4.5206366712	苔白腻略黄,4.49520974652	排气不畅,4.49255370246	苔浊腻,4.49255370246	汗多减轻,4.49255370246	背痛好转,4.46723589448	大便有时成形,4.46723589448	脉弱,4.43906501751	胸骨后烧灼感减轻,4.40269737334	舌灼热感,4.39027485334	瘙痒,4.39027485334	小便急,4.37192571467	微畏寒,4.37192571467	苔局部花剥,4.37192571467	泛吐白沫,4.37192571467	根部厚,4.37192571467	食欲好,4.35235561848	反复口腔溃疡,4.34628328406	小腹胀,4.3274739521	背痛减轻,4.28491433768	背部畏寒,4.28491433768	汗多好转,4.28491433768	反复发作,4.28491433768	形体偏瘦,4.28491433768	腹部喜温,4.28491433768	舌淡暗略胖,4.28491433768	受凉加重,4.24046257511	食后嗳气,4.24046257511	部位不固定,4.23084711641	色黄,4.21592146619	矢气减少,4.21592146619	苔白腻,4.21396260171	苔黄白腻,4.21080636553	舌淡紫暗胖,4.20487163001	偶干咳,4.20487163001	胃脘部畏寒,4.19790296069	苔腻,4.19790296069	大便不干,4.19088538803	腹泻减轻,4.18960415788	睡眠略好转,4.18960415788	口涩,4.18960415788	嗳气明显好转,4.18960415788	舌紫暗红胖,4.18960415788	胃胀明显好转,4.18960415788	右胁胀,4.18313164337	时有呕吐,4.15138294506	上腹胀,4.14181349404	反复感冒,4.13076365785	时有肠鸣,4.13076365785	仍感胃胀,4.13076365785	头晕减轻,4.13076365785	纳时好时差,4.13076365785	腹中不适,4.11306408075	进食后偶嗳气,4.11306408075	口粘,4.11019738027	口淡乏味,4.10259278089	形体肥胖,4.10259278089	偶右胁不适,4.10259278089	苔黄厚腻,4.08571099391	腹部畏寒明显,4.08424364222	目涩,4.08424364222	舌淡边有齿痕,4.08424364222	否认过敏史,4.08011992504	质粘,4.06719085384	腹胀不明显,4.06177078637	腰背痛,4.06177078637	苔根部白腻,4.06177078637	口苦好转,4.06177078637	恶心减轻,4.06177078637	大便粘好转,4.06177078637	偶隐痛,4.06177078637	肠鸣减轻,4.06177078637	目眵多,4.06177078637	双下肢肿减轻,4.06177078637	偶有便不尽感,4.06177078637	伴嗳气,4.06177078637	排气少,4.06177078637	不干,4.0335999094	口粘减轻,4.02255007321	脉沉小,4.02255007321	唇干,4.01525077073	疼痛,4.0129806222	时轻时重,3.99723226523	大便稀,3.99723226523	唇暗,3.99723226523	腹胀减轻,3.99156652769	苔薄腻略黄,3.99067486468	口苦减轻,3.98480974523	

醋鸡内金	食欲不振,4.85516081969	苔局部花剥,4.66187023153	时有胃脘不适,4.66187023153	口干不欲饮,4.62364901871	小便少,4.59255843164	厌油腻,4.56416356542	眠时好时差,4.5283388389	纳偏少,4.5103203334	右侧背痛,4.50075088238	乏力明显好转,4.49481614686	苔根部腻,4.46949833888	口粘好转,4.46949833888	两胁疼痛,4.46949833888	脉右弦左沉,4.46949833888	食欲好转,4.45423086675	食后难消,4.44318103056	大便少,4.43799967182	纳差,4.43564395813	纳略增,4.42070817471	干呕,4.42070817471	有瘀点,4.42070817471	脉弦缓,4.41501015359	食欲欠佳,4.40050546739	睡眠偏差,4.37418815907	偶右上腹疼痛,4.37418815907	口干明显,4.37418815907	口干口苦减轻,4.31534765905	大便较前成形,4.28717678209	气喘,4.28717678209	睡眠质量好转,4.28717678209	脐周隐痛,4.28717678209	全身疼痛,4.28717678209	纳稍增,4.28717678209	夜尿3次,4.28717678209	健忘,4.28717678209	形体消瘦,4.28717678209	经期腹痛,4.2597778079	大便中夹有未消化物,4.25818924521	手足热,4.23838661792	吞咽不畅,4.23310956081	脉沉弦细,4.20713407441	记忆力下降,4.19186660228	感冒不多,4.19186660228	目干涩好转,4.19186660228	口中发酸,4.19186660228	饮食不慎则胃胀,4.19186660228	局部剥脱,4.18181626643	恶心减轻,4.18181626643	大便有时干,4.16939374643	消瘦,4.15364538946	偶胸闷,4.15364538946	偶右胁痛,4.15364538946	纳少,4.14407593844	夹未消化物,4.14407593844	右胁痛,4.12012269742	乳房胀痛,4.11128611562	咽部有异物感,4.10485522529	偶呕吐,4.10485522529	午后明显,4.10485522529	舌面有裂纹,4.08238236944	纳可,4.07418560223	易醒,4.07206540247	胃寒,4.06403323077	胃脘胃寒,4.06403323077	尿痛,4.06403323077	胃脘及背部畏寒,4.06403323077	反复发作,4.06403323077	纳偏差,4.06403323077	偶隐痛,4.06403323077	大便不黑,4.06403323077	脉沉细缓,4.06403323077	口干咽燥,4.04205432405	体重下降,4.0358623538	不喜进食生冷,4.02481251762	右上腹不适,4.02481251762	食欲差,4.02481251762	苔浊腻,4.02481251762	剑突下偏右侧疼痛,4.02481251762	气上逆感,3.99949470963	乏津,3.99949470963	时时欲便,3.99949470963	舌略红,3.99949470963	嗜睡,3.99949470963	纳减,3.99694693755	右胁疼痛,3.98179513253	病情稳定,3.98179513253	睡眠质量差,3.97574062363	泛吐白沫,3.96872305097	嗳气明显好转,3.96872305097	心悸减轻,3.96872305097	呈绞痛,3.96872305097	反酸减少,3.96872305097	咽部充血,3.96872305097	倦怠乏力,3.96872305097	睡眠多,3.96872305097	按之觉痛,3.95070454546	脉弦细数,3.95070454546	PG,3.95070454546	脉,3.95070454546	右上腹疼痛,3.95070454546	

海螵蛸	泛吐白沫,4.78533187415	唇燥,4.71773858302	胃脘隐痛减轻,4.6675488385	苔根部腻,4.62932762568	胸骨后烧灼感减轻,4.61130912017	进食后偶嗳气,4.60651294791	胸骨后烧灼感,4.53797784709	眠时好时差,4.53401744587	舌淡边有齿痕,4.53401744587	手足热,4.50642948935	胸骨后灼热感,4.50049475383	出汗多,4.44700606888	吞咽食物时梗噎不畅,4.44700606888	咳吐不利,4.42638678168	反酸,4.40362979456	心悸减轻,4.37986676604	舌淡紫暗胖,4.36696336121	心悸好转,4.35001380289	烧心,4.34645076912	口腔异味减轻,4.33937540469	口干好转,4.32922303322	嘈杂,4.29285538905	晨起反酸,4.29285538905	大便黑,4.29285538905	脉左沉右弦,4.29285538905	咽部有异物感,4.29285538905	时有胃脘隐痛,4.29285538905	偶头痛,4.29285538905	反酸减轻,4.24406522488	纳眠差,4.23223076724	舌苔根部厚,4.21281268138	四肢冷,4.21281268138	咽干咽痛,4.21281268138	舌木,4.19754520925	心下悸动,4.19754520925	干咳,4.14975454541	干呕,4.13870470923	按之觉痛,4.13870470923	胁痛,4.13870470923	反酸偶作,4.13870470923	右胁胀,4.11696472259	咽部异物感减轻,4.11696472259	晨起咳痰,4.11053383226	胃脘部下坠感,4.11053383226	前部少,4.09869937461	时有反酸,4.08313485807	喜温喜按,4.06971183774	胃寒,4.06971183774	背痛减轻,4.06971183774	小腹胀满,4.06971183774	胃脘胃寒,4.06971183774	口粘好转,4.06971183774	大便粘好转,4.06971183774	全身疼痛,4.06971183774	两胁疼痛,4.06971183774	稍感恶心,4.06971183774	大便不黑,4.06971183774	口干口苦减轻,4.06971183774	便不尽感,4.05646661099	偶胃脘隐痛,4.05169333224	根部腻,4.03049112459	颈部不适,4.03049112459	偶反酸,4.02774763864	晨起明显,4.02092167357	反食,4.01414198658	大便秘结,4.01414198658	咽部异物感,4.01301649406	时时欲便,4.0051733166	脉细数,4.0051733166	背部不适,4.0051733166	偶胸闷,4.0051733166	不喜饮,3.9874737395	白带多,3.97440165794	偶胸骨后疼痛,3.97440165794	睡眠有时偏差,3.97440165794	胸骨后不适,3.9661711588	小便不畅,3.96435132208	时有恶心,3.95884924493	进食生冷加重,3.95638315243	脉,3.95638315243	纳时好时差,3.95638315243	夜间明显,3.94454869479	脘腹畏寒,3.94454869479	稍感胃胀,3.93618044512	舌质暗红,3.93618044512	大便不成形,3.91336576735	大便时干时稀,3.90844369014	偶胃脘不适,3.88739028095	上腹胀,3.88739028095	胸痛,3.88739028095	舌干,3.88739028095	舌面有裂纹,3.88739028095	苔前部少,3.88739028095	舌淡红胖,3.88739028095	时有右胁痛,3.88739028095	大便不尽感,3.88739028095	胃脘隐痛,3.8755558233	胃脘畏寒,3.87518928492	呕吐,3.86904114228	小便频数,3.85999130676	

川芎	舌体瘦,4.9951559516	小便热,4.9951559516	偶头痛,4.75399389478	晨起咳痰,4.70747387915	脑鸣,4.70747387915	胃脘部下坠感,4.70747387915	代诉：病情平稳,4.63848100766	腹部畏寒略减,4.63848100766	头痛,4.59499589572	目胀,4.58969084349	脉沉细缓,4.58969084349	下肢疼痛,4.50964813582	时有头痛,4.50964813582	小腹胀满,4.48433032783	色黄,4.48433032783	大便有时成形,4.48433032783	双下肢肿减轻,4.48433032783	舌紫暗红,4.46235142112	形体偏瘦,4.45615945087	易怒,4.43554016366	有瘀斑,4.41707810083	根部薄白,4.38902014803	自觉上火,4.38902014803	月经不调,4.38539037998	得矢气则舒,4.35916718488	大便欠畅,4.34852878668	月经量少,4.3137048108	背痛好转,4.30200877104	反复感冒,4.30200877104	手足凉好转,4.30200877104	汗多好转,4.30200877104	眼睑肿,4.30200877104	夹血块,4.30200877104	糖尿病饮食,4.30200877104	有软裂,4.28138948384	经期腹痛,4.27460979685	质不干,4.26426844306	头晕好转,4.25755700847	流涕,4.25071547665	夹有血块,4.2250477299	根部腻,4.22196606337	大便仍不成形,4.20669859124	记忆力下降,4.20669859124	舌燥,4.20669859124	右侧腹胀,4.20669859124	睡眠有时偏差,4.20669859124	乏力减轻,4.20669859124	面部烘热,4.16847737842	睡眠时间短,4.14785809121	进食生冷加重,4.14785809121	脱发明显,4.14785809121	腹部喜温,4.14785809121	脉,4.14785809121	两胁痛,4.11968721425	感冒多,4.11968721425	双下肢凉,4.11968721425	情志不舒加重,4.11968721425	全身关节疼痛,4.1078527566	前部少,4.1078527566	大便畅,4.09721435839	偶口干口苦,4.07886521973	正值经期,4.07886521973	背部畏寒,4.07886521973	头晕,4.07886521973	苔薄白略腻,4.07886521973	偶胸痛,4.07886521973	目眵多,4.07886521973	食后加重,4.07886521973	腰部不适,4.07886521973	伴嗳气,4.07886521973	量偏少,4.05688631301	痛经,4.05069434276	双下肢肿,4.03964450657	左下腹疼痛,4.03964450657	得嗳气矢气则舒,4.03964450657	晨起口臭,4.03964450657	面色黄,4.03630560531	苔略黄,4.03374478445	便秘好转,4.02575539441	胸憋,4.02329536857	排出畅,4.01432669859	唇暗,4.01432669859	嗜睡,4.01432669859	口干舌燥,4.01432669859	偶腹痛,4.01432669859	左侧腹痛,3.99662712149	头胀,3.99662712149	伴心悸,3.98355503992	腹部硬满,3.98355503992	睡眠略好转,3.98355503992	双下肢乏力,3.98355503992	白带多,3.98355503992	舌木,3.98355503992	胃寒,3.97350470407	纳稍增,3.96553653442	时有胃脘隐痛,3.96553653442	右上腹疼痛,3.96553653442	舌紫暗胖,3.95791260931	大便不成形好转,3.9506108842	有齿痕,3.9453338271	

太子参	舌淡暗略胖,4.78590151245	舌下脉络瘀曲,4.75773063548	舌淡边有齿痕,4.75121595446	微感口苦,4.72136299131	病情稳定,4.70366341421	有瘀点,4.67257282714	体胖,4.65237011982	口干苦,4.47004856303	心悸减轻,4.40290926019	纳眠差,4.37305629704	食后腹胀,4.3158978832	腰部不适,4.3158978832	时有口干口苦,4.3158978832	脘腹畏寒,4.25527326138	足跟痛,4.2205877034	泛吐白沫,4.2205877034	舌暗淡胖,4.21411518889	唇暗,4.18236649058	口腔异味减轻,4.16174720337	脉沉弱,4.1546297356	眠一般,4.13821670596	服药后好转,4.13357632641	耳鸣减轻,4.13357632641	口粘好转,4.09275433189	眼睑肿,4.09275433189	大便偶不成形,4.09275433189	脉弦滑,4.06643702357	面色萎黄,4.06458345492	食欲好转,4.0580687739	乏力明显好转,4.05353361873	偶干咳,4.05353361873	口粘减轻,4.05353361873	嗜睡,4.02821581075	食欲好,4.02043367031	精神好转,4.00352319816	苔灰腻,3.99744415208	反酸减少,3.99744415208	排不尽感,3.99744415208	脉弦缓,3.99744415208	口干咽燥,3.95299238951	偶咳痰,3.94817310308	胸闷减轻,3.91043277509	偶右胁不适,3.91043277509	偶肠鸣,3.91043277509	口渴,3.91043277509	不能食冷,3.90169909512	舌暗淡,3.88511496711	糖尿病饮食,3.87406513092	气上逆感,3.84589425396	质干,3.84589425396	苔少,3.83405979631	不能多食,3.83039006742	偶有胃胀,3.83039006742	受凉后加重,3.83039006742	病情好转,3.82120164136	眠好转,3.81512259529	脉沉缓,3.81279430553	喜温喜按,3.80507225944	偶口干口苦,3.80507225944	代诉：病情平稳,3.80507225944	舌质暗红,3.80507225944	大便较前成形,3.80507225944	舌体瘦,3.80507225944	仍有嗳气,3.80507225944	反复发作,3.80507225944	稍感恶心,3.80507225944	失眠好转,3.7898047873	嗳气减少,3.78526963214	腹部畏寒好转,3.77690138247	纳略增,3.75628209527	脉弦细数,3.75628209527	苔黄白腻,3.75628209527	时有乏力,3.75628209527	纳稍增,3.75628209527	胁痛,3.75628209527	胃脘部气上逆感,3.7479138456	大便好转,3.73607938795	腹部畏寒减轻,3.71512402277	小便次数多,3.70976207963	偶耳鸣,3.70976207963	听力下降,3.70976207963	倦怠乏力,3.70976207963	大便溏,3.70976207963	口干明显,3.70976207963	偶口干,3.70279341031	有瘀斑,3.69336826986	多梦,3.69121850192	动则汗出,3.68728922378	腹部微畏寒,3.67404399703	牙龈出血,3.67404399703	头胀,3.67404399703	舌淡胖,3.67075992183	上腹胀满,3.65911834681	苔根部薄黄,3.65449940096	舌淡暗胖,3.64732196337	大便少,3.64574022087	晨起咳痰,3.62275070264	时有口苦,3.62275070264	小便少,3.62275070264	舌干,3.62275070264	

生地黄	目胀,4.76301089012	舌体瘦,4.69401801863	舌中根部疼痛,4.69401801863	面黄,4.66122819581	面部痤疮好转,4.64522785446	形体偏瘦,4.64522785446	目干涩好转,4.59870783883	代诉：病情平稳,4.53986733881	小便清长,4.53986733881	苔偏少,4.53986733881	体胖,4.53986733881	牙龈肿痛,4.53986733881	口渴,4.53986733881	脉沉细缓,4.53986733881	面部痤疮,4.52683783852	心烦易怒,4.51169646184	牙龈出血,4.5041492562	少津,4.49107717464	汗多好转,4.47532881767	口臭明显减轻,4.47532881767	舌下脉络瘀曲,4.46290629767	舌灼热感,4.46290629767	瘙痒,4.46290629767	舌质暗红,4.45285596182	手足心热,4.44769687901	排出畅,4.43758848969	时有口臭,4.42208430315	夹有血块,4.39391342618	鼻干,4.39144733369	背痛好转,4.35754578201	背部畏寒,4.35754578201	腹部不适,4.35754578201	形体肥胖,4.35754578201	口苦好转,4.35754578201	苔薄,4.35754578201	胃脘部下坠感,4.35754578201	脱发明显,4.35754578201	腰部不适,4.35754578201	面部痤疮多,4.35754578201	夹血块,4.35754578201	苔根部黄,4.35754578201	急躁易怒,4.33507292616	根部薄黄,4.32475595919	头晕好转,4.31309401944	烘热,4.30875561784	唇干,4.30145631536	心悸好转,4.2969211602	口腔溃疡已愈,4.27750307434	前部苔少,4.27750307434	晨起口臭,4.27750307434	汗出,4.27053440502	小便急,4.26223560221	根部薄白,4.26223560221	双下肢乏力,4.26223560221	咽部充血,4.26223560221	听力下降,4.26223560221	根部厚,4.26223560221	倦怠乏力,4.26223560221	便秘好转,4.24834649005	口苦口干,4.23976274636	舌面有裂纹,4.23976274636	前部少苔,4.23238263906	易上火,4.21992440414	量偏少,4.21778383964	烦躁,4.20339510218	月经量少,4.19156064454	晨起咳痰,4.17522422522	感冒多,4.17522422522	双下肢凉,4.17522422522	服上药后,4.17522422522	纳眠差,4.16338976757	偶头晕,4.16338976757	纳眠好,4.16180120489	质不干,4.15275136937	流涕,4.1344022307	夜间口干减轻,4.1344022307	腰背痛,4.1344022307	目眵多,4.1344022307	眼睑肿,4.1344022307	月经不调,4.11242332398	有瘀斑,4.10970961811	不干,4.10623135373	大便干结,4.10331164363	舌尖红,4.10265353238	手心热,4.09518151754	依赖泻药,4.08561206653	偶口苦,4.08561206653	口腔异味,4.07531331433	面部烘热,4.06986370956	盗汗,4.06986370956	大便仍不成形,4.03909205089	舌燥,4.03909205089	呈绞痛,4.03909205089	鼻燥,4.03909205089	白带多,4.03909205089	睡眠有时偏差,4.03909205089	口干明显,4.03909205089	全身畏寒,4.03342631336	苔前部少,4.03212338158	脉弦细数,4.02107354539	

